travelCode,userCode,from,to,flightType,price,time,distance,agency,date
45,109,Columbus,Austin,business,464.84,4.4,1281,AirGo,2023-08-24
46,461,Miami,Seattle,firstClass,466.05,3.65,881,SkyWay,2023-10-15
47,386,Miami,Los Angeles,economic,407.35,6.68,3076,AirGo,2023-05-28
48,347,Fort Worth,Chicago,firstClass,919.59,5.01,1830,SkyWay,2024-02-03
49,257,Austin,Columbus,business,540.54,4.98,1646,JetSet,2023-03-22
50,394,Jacksonville,Los Angeles,economic,508.21,9.01,4080,SkyWay,2024-09-11
51,252,Atlanta,Fort Worth,firstClass,409.06,2.94,742,CloudFy,2024-04-06
52,44,Jacksonville,Miami,firstClass,2046.04,8.85,4037,AirGo,2024-01-25
53,402,Atlanta,San Jose,economic,142.44,2.83,1102,JetSet,2024-12-29
54,228,Phoenix,Columbus,firstClass,1299.29,7.57,3454,FlyingDrops,2023-11-12
55,263,Dallas,Houston,economic,178.52,3.21,1215,Cloudy,2024-07-22
56,443,Houston,New York,economic,529.62,8.13,3399,Cloudy,2023-11-29
57,464,New York,Austin,firstClass,1978.02,9.02,3676,CloudFy,2024-07-26
58,253,Miami,Denver,economic,492.54,7.99,3618,CloudFy,2023-10-02
59,185,Chicago,San Antonio,firstClass,1335.71,6.65,2760,FlyingDrops,2023-03-20
60,486,San Diego,Denver,business,515.42,5.39,2101,Cloudy,2023-01-07
61,499,Austin,Columbus,firstClass,2293.13,9.21,4106,SkyWay,2024-10-28
62,496,Phoenix,Austin,firstClass,890.11,5.51,2145,FlyingDrops,2024-02-12
63,187,San Jose,Denver,business,663.61,5.96,2485,Rainbow,2024-02-07
64,488,Miami,San Antonio,business,1690.17,10.71,4969,JetSet,2023-01-28
65,345,Charlotte,San Antonio,firstClass,1127.16,7.52,2886,Cloudy,2024-02-23
66,38,Phoenix,Austin,economic,418.53,6.63,2569,Cloudy,2024-01-22
67,215,Atlanta,Seattle,business,1375.21,8.87,3783,SkyWay,2024-12-09
68,394,Los Angeles,Fort Worth,business,1773.86,11.19,4898,CloudFy,2023-04-22
69,205,Jacksonville,Philadelphia,business,277.35,3.07,862,AirGo,2024-10-24
70,286,Austin,Charlotte,economic,78.13,1.82,586,SkyWay,2024-06-15
71,354,Miami,San Diego,firstClass,1955.84,8.21,3564,SkyWay,2024-08-25
72,60,Phoenix,Fort Worth,economic,645.65,9.56,4454,AirGo,2023-03-29
73,179,Phoenix,Fort Worth,firstClass,1395.31,7.8,3310,Cloudy,2024-05-09
74,59,Houston,Seattle,business,1135.79,9.39,4206,Rainbow,2024-12-28
75,90,Austin,Houston,business,620.39,5.59,1846,SkyWay,2024-06-12
76,323,Philadelphia,Jacksonville,business,1037.04,9.92,3992,CloudFy,2024-02-19
77,304,Philadelphia,Charlotte,firstClass,423.96,3.08,739,Cloudy,2024-04-05
78,296,Fort Worth,New York,business,763.2,5.33,2259,Rainbow,2023-03-06
79,442,Boston,Philadelphia,firstClass,1270.03,7.14,3170,Cloudy,2024-11-17
80,181,Denver,Austin,business,1152.97,8.78,3683,AirGo,2023-12-23
81,69,Charlotte,Philadelphia,business,920.51,7.75,2936,FlyingDrops,2024-11-19
82,199,Houston,Dallas,firstClass,774.23,3.69,1458,Cloudy,2024-06-07
83,356,Atlanta,Phoenix,business,1085.62,8.42,3643,JetSet,2024-07-04
84,318,Philadelphia,Miami,economic,591.96,9.96,4511,Rainbow,2024-04-06
85,259,Jacksonville,New York,firstClass,746.52,4.03,1618,JetSet,2024-07-29
86,86,Seattle,Columbus,business,1589.25,10.18,4528,Rainbow,2024-05-15
87,87,Miami,New York,economic,386.05,6.33,2892,AirGo,2023-10-23
88,138,Charlotte,Atlanta,business,1102.71,10.44,4557,AirGo,2023-04-27
89,218,Boston,Jacksonville,business,244.61,3.32,840,Rainbow,2023-08-12
90,225,San Diego,Austin,economic,718.53,9.26,4184,AirGo,2023-03-31
91,85,Houston,Dallas,economic,528.11,8.54,3372,SkyWay,2024-03-14
92,276,Phoenix,San Diego,economic,149.81,3.33,986,CloudFy,2024-09-03
93,418,Austin,San Jose,firstClass,1320.1,7.31,2690,Rainbow,2024-11-26
94,128,Phoenix,Charlotte,economic,353.62,7.34,2771,CloudFy,2023-05-16
95,322,Austin,San Diego,business,1158.27,8.67,3717,Cloudy,2023-10-03
96,480,Fort Worth,Seattle,economic,208.22,3.63,1262,FlyingDrops,2024-12-12
97,375,Charlotte,Denver,firstClass,294.12,2.84,520,Cloudy,2023-04-06
98,254,Jacksonville,Chicago,business,1087.74,8.34,3758,FlyingDrops,2023-08-05
99,404,Austin,San Jose,firstClass,2503.37,11.33,4983,FlyingDrops,2024-05-11
100,226,Los Angeles,Chicago,economic,749.47,9.05,4264,Cloudy,2023-06-11
101,48,New York,Charlotte,economic,218.22,4.98,1580,JetSet,2023-10-08
102,203,Jacksonville,Dallas,economic,563.58,8.59,3546,JetSet,2023-02-23
103,40,San Jose,San Diego,firstClass,467.93,4.05,1247,CloudFy,2024-05-03
104,441,Miami,San Diego,business,1365.11,8.8,4145,Cloudy,2023-05-04
105,53,Phoenix,Denver,economic,389.13,5.82,2375,FlyingDrops,2023-04-15
106,329,Jacksonville,San Jose,economic,600.46,8.93,3635,JetSet,2023-05-17
107,370,Phoenix,Chicago,business,142.03,2.55,569,CloudFy,2023-12-26
108,72,Phoenix,Charlotte,business,981.53,10.04,4124,AirGo,2023-04-13
109,127,Houston,Atlanta,business,1054.89,8.32,3645,FlyingDrops,2023-05-24
110,449,Chicago,Dallas,business,931.17,7.34,2834,FlyingDrops,2024-11-05
111,28,San Antonio,Boston,business,1326.31,10.13,4674,AirGo,2024-10-23
112,271,San Diego,Denver,firstClass,737.92,3.71,1423,Rainbow,2023-03-14
113,280,Jacksonville,Austin,economic,565.25,9.13,3668,JetSet,2024-01-10
114,21,Philadelphia,Denver,economic,76.85,2.65,636,Rainbow,2023-08-09
115,43,Fort Worth,Boston,firstClass,2165.28,10.86,4604,JetSet,2024-02-16
116,472,Boston,Miami,business,475.1,4.42,1750,CloudFy,2024-06-07
117,349,Phoenix,Miami,firstClass,2022.88,8.78,3700,JetSet,2024-10-27
118,126,Chicago,Austin,business,1437.09,9.76,4083,Rainbow,2023-03-01
119,62,Columbus,Houston,firstClass,514.79,2.86,950,Rainbow,2023-06-29
120,86,Phoenix,New York,economic,691.2,11.06,4566,FlyingDrops,2023-09-23
121,140,Phoenix,San Jose,business,336.53,4.59,1467,SkyWay,2024-03-15
122,256,Chicago,San Jose,business,341.13,3.51,1131,AirGo,2023-02-26
123,346,Miami,Philadelphia,firstClass,711.9,4.46,1788,JetSet,2024-08-10
124,126,Houston,Dallas,business,1651.55,9.84,4668,Rainbow,2023-01-13
125,284,Seattle,Jacksonville,firstClass,1021.97,4.23,1729,AirGo,2023-02-06
126,423,Columbus,San Diego,firstClass,1360.39,6.19,2533,Rainbow,2023-10-05
127,412,Miami,Jacksonville,economic,568.02,10.73,4612,SkyWay,2023-08-17
128,168,Los Angeles,Columbus,economic,717.23,10.42,4310,Rainbow,2023-11-15
129,379,Boston,Charlotte,economic,541.78,7.85,3522,SkyWay,2023-11-08
130,390,San Diego,Seattle,firstClass,2495.62,11.08,4541,AirGo,2024-07-13
131,430,San Diego,Phoenix,economic,588.47,8.25,3859,JetSet,2024-10-13
132,106,New York,Jacksonville,economic,586.13,8.94,3582,SkyWay,2023-04-17
133,48,San Diego,Charlotte,firstClass,402.96,3.94,990,Rainbow,2023-10-14
134,49,San Diego,Boston,firstClass,1929.18,8.29,3551,SkyWay,2024-08-17
135,150,Phoenix,Columbus,economic,179.63,3.17,1010,FlyingDrops,2023-08-31
136,484,Austin,Columbus,business,843.1,7.32,3172,CloudFy,2023-03-18
137,209,Phoenix,Atlanta,economic,260.58,4.2,1773,Rainbow,2023-11-18
138,47,Boston,Jacksonville,economic,571.05,9.37,4202,CloudFy,2023-05-03
139,203,San Jose,Los Angeles,economic,518.1,7.09,3185,SkyWay,2023-12-31
140,285,Los Angeles,Austin,firstClass,896.56,4.39,1924,JetSet,2024-04-08
141,7,Boston,San Diego,economic,718.29,9.22,4285,Rainbow,2023-05-05
142,44,San Diego,Phoenix,economic,596.71,8.62,3781,SkyWay,2024-10-22
143,228,Miami,Dallas,economic,89.4,3.35,678,AirGo,2024-10-23
144,474,Phoenix,Chicago,firstClass,719.52,3.57,1503,SkyWay,2023-06-22
145,110,Columbus,Fort Worth,firstClass,349.01,2.56,741,CloudFy,2023-12-29
146,332,Dallas,San Jose,firstClass,883.08,3.99,1717,FlyingDrops,2023-09-09
147,215,Seattle,Columbus,business,1181.06,9.44,4424,CloudFy,2023-05-21
148,184,Denver,San Diego,business,1849.5,11.6,4953,Cloudy,2024-12-31
149,164,Boston,Seattle,firstClass,2011.44,10.21,4615,SkyWay,2023-01-27
150,393,San Diego,New York,firstClass,471.03,3.67,979,SkyWay,2024-01-02
151,392,San Diego,Philadelphia,economic,344.06,6.55,2530,CloudFy,2023-02-27
152,184,Miami,Fort Worth,firstClass,977.49,4.61,1923,SkyWay,2024-12-15
153,278,New York,Fort Worth,business,421.38,4.67,1664,FlyingDrops,2024-05-19
154,270,Philadelphia,Denver,economic,193.41,3.06,1239,Cloudy,2023-01-21
155,471,New York,Jacksonville,business,593.64,6.01,2150,AirGo,2023-07-01
156,434,Austin,Los Angeles,economic,299.31,4.8,1710,SkyWay,2023-04-24
157,70,Jacksonville,Chicago,firstClass,1685.72,8.86,3740,CloudFy,2023-11-27
158,456,Columbus,Denver,business,1147.6,6.96,3099,SkyWay,2024-12-11
159,66,Jacksonville,San Diego,business,648.75,4.94,1936,CloudFy,2023-10-29
160,114,New York,Atlanta,firstClass,341.65,2.3,765,JetSet,2024-09-18
161,164,Miami,Houston,firstClass,648.42,4.3,1652,CloudFy,2023-12-22
162,180,Chicago,Jacksonville,firstClass,255.67,2.08,593,FlyingDrops,2023-03-11
163,453,Houston,New York,economic,531.5,8.48,3661,Cloudy,2023-06-20
164,334,Seattle,Fort Worth,firstClass,2792.25,11.01,4973,AirGo,2024-08-14
165,164,San Diego,Philadelphia,firstClass,421.92,3.9,1103,FlyingDrops,2023-01-21
166,281,Houston,Chicago,firstClass,778.41,5.62,1893,Rainbow,2023-03-18
167,456,Austin,Denver,business,243.25,2.65,753,Cloudy,2024-09-13
168,284,Philadelphia,Los Angeles,economic,422.05,7.23,3212,JetSet,2024-12-14
169,293,Boston,Dallas,business,671.72,6.56,2806,SkyWay,2024-02-07
170,321,Seattle,Phoenix,economic,432.77,7.42,3455,SkyWay,2024-11-08
171,243,Seattle,San Antonio,economic,112.39,2.23,710,AirGo,2023-03-25
172,329,Houston,Austin,firstClass,2281.91,9.95,4357,SkyWay,2023-04-04
173,226,Fort Worth,Philadelphia,firstClass,1722.49,8.3,3624,Cloudy,2023-09-27
174,44,Dallas,San Diego,firstClass,533.83,2.73,1004,JetSet,2023-04-10
175,215,Jacksonville,Miami,firstClass,1333.16,6.06,2363,SkyWay,2024-06-19
176,258,Seattle,Atlanta,economic,632.37,9.75,4401,SkyWay,2023-02-05
177,486,Denver,Atlanta,business,577.95,4.09,1707,CloudFy,2023-06-27
178,104,San Antonio,San Diego,economic,152.22,2.83,849,AirGo,2024-03-21
179,167,Phoenix,San Jose,firstClass,524.19,2.73,1048,AirGo,2024-07-19
180,401,Dallas,Boston,firstClass,309.63,2.88,601,Cloudy,2024-06-19
181,474,Houston,Charlotte,economic,265.6,4.78,1714,Rainbow,2023-04-13
182,197,Miami,Houston,firstClass,2797.93,11.59,4887,JetSet,2023-09-28
183,317,Seattle,Atlanta,business,1165.12,9.31,4375,SkyWay,2023-05-28
184,472,Fort Worth,Los Angeles,firstClass,1241.28,7.97,3215,FlyingDrops,2024-05-01
185,351,Jacksonville,New York,firstClass,1683.76,6.93,2982,Rainbow,2024-12-13
186,310,San Diego,Phoenix,firstClass,1846.47,9.92,4129,JetSet,2024-03-02
187,389,Chicago,San Diego,firstClass,1041.01,6.33,2231,SkyWay,2024-05-11
188,70,Jacksonville,Los Angeles,business,597.25,4.2,1802,AirGo,2024-02-18
189,128,Denver,Atlanta,economic,326.86,4.64,1923,Rainbow,2023-03-01
190,204,Charlotte,Los Angeles,firstClass,1193.98,5.17,2131,JetSet,2024-06-01
191,301,Houston,New York,economic,521.17,8.34,3551,SkyWay,2024-04-30
192,15,Jacksonville,Fort Worth,economic,422.36,6.86,2618,Cloudy,2023-10-19
193,106,Los Angeles,San Antonio,business,726.35,6.3,2255,FlyingDrops,2024-11-24
194,308,Columbus,Boston,economic,73.18,2.36,572,AirGo,2023-06-27
195,217,New York,Dallas,firstClass,1604.89,7.57,3002,Cloudy,2023-10-09
196,204,Jacksonville,Seattle,firstClass,1206.09,5.77,2287,SkyWay,2024-09-30
197,153,Houston,New York,business,1119.64,8.47,3565,JetSet,2023-10-17
198,134,Houston,Denver,economic,515.55,8.49,3254,JetSet,2023-10-11
199,207,San Jose,San Antonio,economic,824.15,11.12,4737,JetSet,2024-09-06
200,465,Austin,Phoenix,business,265.23,2.9,708,Cloudy,2023-09-23
201,176,Fort Worth,Columbus,business,295.25,2.95,789,JetSet,2023-07-14
202,154,San Diego,Miami,business,1432.46,10.65,4397,AirGo,2024-06-03
203,372,Philadelphia,Miami,economic,371.03,6.46,2906,AirGo,2023-09-22
204,382,Boston,Philadelphia,business,839.34,7.98,3249,AirGo,2023-08-17
205,241,San Jose,Charlotte,firstClass,1563.48,7.98,3544,Rainbow,2023-05-01
206,445,Miami,Atlanta,business,275.28,3.37,1083,JetSet,2023-05-03
207,103,Fort Worth,Boston,firstClass,2203.02,8.35,3884,FlyingDrops,2023-05-21
208,250,Columbus,Atlanta,firstClass,896.77,4.32,1673,FlyingDrops,2023-03-24
209,296,Philadelphia,Jacksonville,business,259.38,2.46,975,AirGo,2023-06-22
210,220,Philadelphia,Denver,economic,246.49,4.54,1560,Cloudy,2024-02-18
211,457,Fort Worth,New York,economic,693.71,10.54,4872,FlyingDrops,2023-01-15
212,450,Denver,San Antonio,economic,71.92,2.51,533,FlyingDrops,2024-12-11
213,422,San Jose,Phoenix,economic,503.93,8.54,3642,Rainbow,2023-03-08
214,69,San Jose,Austin,firstClass,2147.72,10.92,4762,FlyingDrops,2024-12-04
215,10,Seattle,Jacksonville,economic,323.92,5.62,1850,CloudFy,2024-02-18
216,365,San Diego,Phoenix,economic,88.36,2.74,679,JetSet,2024-01-11
217,25,Los Angeles,Columbus,business,826.43,6.85,2595,JetSet,2024-08-31
218,130,Houston,New York,economic,206.8,4.02,1448,Cloudy,2024-07-14
219,267,Phoenix,San Diego,business,186.77,2.1,576,FlyingDrops,2024-11-09
220,59,Atlanta,Phoenix,firstClass,698.5,3.99,1359,AirGo,2023-10-17
221,184,Houston,Denver,economic,362.88,5.94,2136,JetSet,2023-07-26
222,478,Columbus,San Jose,economic,143.54,2.97,822,Cloudy,2024-12-05
223,343,Austin,San Diego,economic,105.35,2.72,604,Cloudy,2024-08-10
224,330,Phoenix,Chicago,business,267.58,3.81,1114,CloudFy,2023-09-20
225,437,Charlotte,San Jose,firstClass,2400.92,9.18,4303,FlyingDrops,2023-02-10
226,5,Jacksonville,Austin,firstClass,790.57,3.54,1449,AirGo,2023-02-16
227,450,Phoenix,San Antonio,firstClass,2022.16,8.7,3428,JetSet,2023-10-02
228,140,Chicago,Fort Worth,firstClass,929.18,4.67,1998,AirGo,2024-04-12
229,483,Fort Worth,Denver,firstClass,992.04,4.4,1866,AirGo,2023-03-02
230,313,Philadelphia,Houston,firstClass,2350.1,10.61,4454,Cloudy,2023-07-05
231,226,Jacksonville,New York,business,468.2,4.36,1570,Rainbow,2024-02-26
232,393,Chicago,San Jose,business,1092.04,6.67,3074,JetSet,2024-06-21
233,49,Miami,Atlanta,economic,527.59,7.82,3271,Cloudy,2024-09-25
234,28,San Diego,Denver,firstClass,2048.58,8.03,3652,Rainbow,2024-09-19
235,165,Philadelphia,Boston,firstClass,1787.2,10.93,4561,CloudFy,2024-05-18
236,419,Austin,Dallas,economic,737.8,10.14,4652,CloudFy,2024-02-17
237,61,Chicago,Seattle,firstClass,2031.43,8.97,4170,Cloudy,2023-11-20
238,406,New York,Phoenix,firstClass,1932.87,8.31,3877,SkyWay,2023-04-04
239,187,Atlanta,San Jose,business,643.79,5.87,2194,AirGo,2023-12-16
240,367,Los Angeles,Dallas,firstClass,1656.0,7.78,3219,JetSet,2024-04-29
241,182,Jacksonville,Seattle,economic,173.03,4.23,1298,AirGo,2023-12-16
242,253,San Jose,Miami,business,825.91,8.68,3562,CloudFy,2023-06-18
243,111,Columbus,Houston,firstClass,1229.36,4.99,2104,Cloudy,2024-02-07
244,302,San Antonio,Jacksonville,economic,615.39,8.36,3895,Rainbow,2024-11-19
245,377,Charlotte,Seattle,business,1388.19,9.96,4630,Rainbow,2024-06-27
246,355,Boston,Columbus,business,1524.67,10.8,4456,SkyWay,2023-07-01
247,259,Philadelphia,Phoenix,economic,574.35,8.83,3673,Cloudy,2023-11-26
248,413,Columbus,San Diego,firstClass,2230.44,9.46,3759,CloudFy,2024-04-08
249,365,Phoenix,Charlotte,business,1550.73,10.34,4696,JetSet,2023-11-18
250,472,Boston,San Antonio,economic,304.69,5.87,2217,JetSet,2023-12-20
251,390,Phoenix,San Antonio,business,1351.48,11.43,4944,FlyingDrops,2023-04-29
252,147,Boston,Seattle,business,1407.23,9.35,3919,AirGo,2024-06-30
253,29,Columbus,New York,business,338.61,3.28,1372,CloudFy,2024-11-17
254,105,Dallas,Philadelphia,firstClass,992.62,5.82,2552,AirGo,2023-10-30
255,443,Boston,Los Angeles,firstClass,2399.29,9.07,4207,CloudFy,2024-07-29
256,355,Boston,Fort Worth,economic,786.75,11.05,4685,JetSet,2023-10-22
257,495,Los Angeles,Columbus,firstClass,2325.92,9.76,3912,SkyWay,2023-11-17
258,425,Los Angeles,New York,business,908.93,5.92,2558,CloudFy,2024-03-29
259,230,Jacksonville,Atlanta,business,779.58,5.88,2109,CloudFy,2023-10-29
260,285,Chicago,San Antonio,economic,576.56,10.1,4709,FlyingDrops,2023-10-13
261,21,Phoenix,San Antonio,business,763.62,5.69,2589,CloudFy,2023-06-08
262,38,Austin,Los Angeles,business,922.44,7.17,2967,AirGo,2024-01-02
263,213,Austin,Boston,economic,335.35,5.29,2006,SkyWay,2023-06-13
264,170,Boston,Fort Worth,economic,446.48,7.56,3362,FlyingDrops,2023-12-06
265,5,San Jose,San Antonio,business,1498.07,10.9,4845,Rainbow,2024-10-26
266,196,Jacksonville,Seattle,economic,401.9,6.93,2497,AirGo,2023-11-25
267,421,Houston,Columbus,firstClass,1874.25,11.44,4925,AirGo,2024-06-13
268,99,Jacksonville,Boston,business,1118.28,9.53,4150,FlyingDrops,2024-10-29
269,4,Denver,Chicago,economic,311.33,5.7,1871,JetSet,2024-06-30
270,106,Chicago,San Diego,business,648.27,6.29,2246,SkyWay,2023-04-17
271,45,Columbus,Chicago,business,584.92,4.05,1759,Rainbow,2023-02-08
272,209,Los Angeles,San Antonio,firstClass,459.04,3.52,1077,Cloudy,2023-09-22
273,4,Charlotte,Fort Worth,firstClass,1627.39,6.71,3091,JetSet,2024-07-01
274,55,Atlanta,Chicago,business,205.69,3.3,872,FlyingDrops,2024-05-29
275,243,San Jose,Chicago,firstClass,2287.51,9.24,4085,CloudFy,2023-02-01
276,492,Boston,San Diego,economic,633.09,9.1,3703,JetSet,2023-10-30
277,73,Phoenix,Austin,business,806.05,9.05,3556,Rainbow,2024-07-22
278,108,Los Angeles,New York,business,1368.35,8.76,3728,JetSet,2023-11-09
279,428,Jacksonville,San Antonio,firstClass,1956.24,10.11,4698,FlyingDrops,2024-09-23
280,237,San Antonio,Houston,economic,166.27,3.67,945,JetSet,2024-07-16
281,250,Boston,Chicago,firstClass,440.81,2.98,1051,FlyingDrops,2024-08-17
282,163,Jacksonville,Phoenix,business,769.7,5.49,2421,Cloudy,2023-07-18
283,187,Charlotte,Austin,business,744.57,7.55,3004,AirGo,2024-08-03
284,379,Austin,Charlotte,economic,90.09,2.05,539,JetSet,2024-12-30
285,237,Columbus,Dallas,firstClass,719.36,4.72,1600,Cloudy,2024-05-06
286,440,Jacksonville,San Jose,firstClass,711.48,3.55,1391,AirGo,2023-10-15
287,457,Phoenix,Miami,economic,418.58,6.91,2656,Rainbow,2023-03-19
288,283,Denver,New York,business,980.9,9.29,3818,FlyingDrops,2023-02-07
289,376,Boston,Miami,firstClass,730.14,4.48,1717,AirGo,2024-08-26
290,6,San Jose,Phoenix,firstClass,2137.99,10.48,4605,JetSet,2024-05-29
291,338,San Diego,Philadelphia,business,415.34,4.47,1649,AirGo,2024-08-02
292,136,Phoenix,Denver,firstClass,402.8,2.49,831,FlyingDrops,2023-03-06
293,241,San Diego,Los Angeles,business,753.78,5.66,2193,Cloudy,2024-02-02
294,425,Los Angeles,Chicago,business,1167.82,6.96,3154,FlyingDrops,2024-10-10
295,335,Dallas,Atlanta,business,542.14,4.91,1924,AirGo,2024-08-24
296,181,Chicago,Boston,firstClass,1522.9,9.12,3582,AirGo,2024-02-20
297,118,Jacksonville,Denver,firstClass,225.07,2.36,554,Rainbow,2023-06-19
298,339,Denver,Dallas,economic,245.2,4.24,1730,CloudFy,2023-05-02
299,303,Columbus,Austin,business,423.86,4.08,1428,CloudFy,2023-08-04
300,323,Columbus,New York,economic,132.68,2.4,853,SkyWay,2023-05-18
301,491,Los Angeles,Atlanta,economic,167.98,2.67,958,Cloudy,2024-06-13
302,485,Atlanta,Miami,business,217.9,3.12,652,Rainbow,2023-10-18
303,308,San Antonio,Seattle,business,1092.8,10.52,4361,CloudFy,2024-02-25
304,473,Miami,Philadelphia,business,1562.71,10.26,4684,Cloudy,2023-12-17
305,104,Atlanta,Miami,economic,304.74,5.83,2382,SkyWay,2023-01-17
306,20,Denver,Columbus,economic,224.24,3.34,1288,AirGo,2024-09-06
307,277,Boston,Denver,economic,161.44,3.75,1263,AirGo,2024-09-09
308,220,New York,Charlotte,business,913.56,8.95,3946,CloudFy,2024-06-26
309,466,Seattle,Fort Worth,firstClass,561.95,3.74,1300,AirGo,2023-08-27
310,381,Chicago,Austin,business,1255.11,11.02,4954,AirGo,2024-12-27
311,353,New York,Atlanta,business,412.04,4.21,1465,AirGo,2023-07-30
312,134,Austin,Charlotte,firstClass,716.16,3.48,1373,AirGo,2023-09-17
313,387,Boston,Columbus,business,1306.33,8.41,3495,CloudFy,2024-02-11
314,130,Columbus,Miami,business,1375.06,9.67,4452,FlyingDrops,2024-05-10
315,61,Miami,Jacksonville,business,1328.57,9.13,3761,JetSet,2024-11-06
316,411,San Diego,Seattle,business,549.78,4.3,1825,SkyWay,2023-12-13
317,422,Atlanta,Los Angeles,economic,443.61,9.32,3687,CloudFy,2023-04-04
318,20,Seattle,Columbus,economic,145.66,2.94,1024,JetSet,2024-09-15
319,485,Fort Worth,Columbus,business,1761.92,10.47,4768,AirGo,2023-02-28
320,147,Philadelphia,Denver,firstClass,306.88,1.98,587,CloudFy,2024-06-14
321,123,Los Angeles,Boston,business,781.67,6.22,2397,JetSet,2024-01-04
322,208,New York,San Antonio,economic,389.68,7.19,2760,SkyWay,2024-02-09
323,469,San Antonio,Boston,economic,162.46,4.0,1062,SkyWay,2024-07-26
324,295,Jacksonville,Fort Worth,firstClass,985.36,6.12,2353,Rainbow,2024-02-18
325,175,Dallas,Philadelphia,firstClass,1818.31,9.95,4647,Rainbow,2023-10-29
326,248,Denver,Dallas,business,942.9,6.64,2549,AirGo,2024-07-30
327,60,San Diego,Jacksonville,firstClass,2431.71,10.39,4274,FlyingDrops,2024-05-08
328,212,Chicago,Columbus,business,598.12,6.13,2305,FlyingDrops,2023-11-20
329,384,Denver,Miami,economic,333.67,6.19,2657,AirGo,2024-11-20
330,138,Austin,Chicago,business,545.5,5.14,1962,CloudFy,2024-08-10
331,106,San Antonio,Denver,business,557.89,5.12,2135,CloudFy,2023-09-29
332,347,San Antonio,Dallas,business,823.27,7.57,3416,JetSet,2023-03-22
